year,selling_price,km_driven,fuel,seller_type,transmission,owner,selling_price
2007,40200.0,70000,0,0,0,0,40200.0
2007,90450.0,50000,0,0,0,0,90450.0
2012,402000.0,100000,1,0,0,0,402000.0
2017,167500.0,46000,0,0,0,0,167500.0
2014,301500.0,141000,1,0,0,1,301500.0
2007,93800.0,125000,0,0,0,0,93800.0
2016,368500.0,25000,0,0,0,0,368500.0
2014,160800.0,60000,0,0,0,1,160800.0
2015,569500.0,25000,0,0,0,0,569500.0
2017,244550.00000000003,78000,2,0,0,0,244550.00000000003
2015,174200.0,35000,0,0,0,0,174200.0
2014,167500.0,100000,0,0,0,0,167500.0
2018,1105500.0,25000,0,1,1,0,1105500.0
2007,40200.0,70000,0,0,0,0,40200.0
2007,90450.0,50000,0,0,0,0,90450.0
2012,402000.0,100000,1,0,0,0,402000.0
2017,167500.0,46000,0,0,0,0,167500.0
2014,301500.0,141000,1,0,0,1,301500.0
2007,93800.0,125000,0,0,0,0,93800.0
2016,368500.0,25000,0,0,0,0,368500.0
2014,160800.0,60000,0,0,0,1,160800.0
2015,569500.0,25000,0,0,0,0,569500.0
2017,244550.00000000003,78000,2,0,0,0,244550.00000000003
2015,174200.0,35000,0,0,0,0,174200.0
2014,167500.0,100000,0,0,0,0,167500.0
2018,1105500.0,25000,0,1,1,0,1105500.0
2015,391950.0,24000,0,1,0,0,391950.0
2019,800650.0,5000,1,1,0,0,800650.0
2013,261300.00000000003,33000,1,0,0,1,261300.00000000003
2014,1316549.33,28000,1,1,1,0,1316549.33
2013,954750.0,59000,1,1,1,0,954750.0
2018,653250.0,4500,1,1,1,0,653250.0
2011,797300.0,175900,1,1,1,0,797300.0
2018,623100.0,14500,0,1,0,0,623100.0
2018,351750.0,15000,0,0,0,0,351750.0
2013,1162450.0,50000,1,1,1,0,1162450.0
2012,921250.0,33800,1,1,1,1,921250.0
2011,301500.0,130400,1,1,1,1,301500.0
2016,603000.0,50000,0,0,1,0,603000.0
2015,871000.0,80000,1,0,0,0,871000.0
2019,938000.0,10000,0,0,0,0,938000.0
2010,569500.0,119000,0,1,1,0,569500.0
2014,154099.33000000002,60000,0,0,0,3,154099.33000000002
2013,1038500.0000000001,75800,1,1,1,1,1038500.0000000001
2009,837500.0,78000,1,1,1,2,837500.0
2012,418750.0,40000,1,0,0,0,418750.0
2014,703500.0,50000,1,0,0,0,703500.0
2014,375200.0,74000,1,0,0,1,375200.0
2014,194300.0,64000,0,0,0,1,194300.0
2012,184250.0,60000,0,0,0,1,184250.0
2009,275370.0,120000,1,0,0,1,275370.0
2009,100500.0,79000,0,0,0,2,100500.0
2019,335000.0,15000,0,0,0,0,335000.0
2006,67000.0,80000,0,0,0,0,67000.0
2017,485750.0,18500,1,1,0,0,485750.0
2018,268670.0,10200,0,1,0,0,268670.0
2018,502500.00000000006,29000,1,1,0,0,502500.00000000006
2018,207700.0,28000,0,1,0,0,207700.0
2016,445550.0,46000,1,1,0,0,445550.0
2014,311550.0,70000,1,1,0,0,311550.0
2012,107200.0,60000,0,0,0,1,107200.0
1996,167500.0,35000,1,0,0,1,167500.0
2014,452250.0,90000,1,1,0,0,452250.0
2013,201000.0,80000,0,1,0,0,201000.0
2005,46900.0,80000,1,0,0,0,46900.0
2014,160800.0,73300,0,1,0,1,160800.0
2014,351750.0,92000,1,1,0,0,351750.0
2009,101170.0,66764,0,1,0,1,101170.0
2009,93800.0,100000,0,0,0,0,93800.0
2010,187600.0,350000,1,0,0,1,187600.0
2011,234500.0,230000,1,0,0,0,234500.0
2017,381900.0,60000,1,0,0,0,381900.0
2018,201000.0,31000,0,0,0,0,201000.0
2007,67000.0,39000,1,0,0,0,67000.0
2009,335000.0,120000,1,0,0,2,335000.0
2014,83750.0,166000,1,0,0,3,83750.0
2006,87100.0,110000,0,0,0,2,87100.0
2017,619750.0,35000,1,0,0,0,619750.0
2018,502500.00000000006,60000,1,0,0,0,502500.00000000006
2007,134000.0,54000,0,0,1,1,134000.0
2010,166160.0,63000,0,0,0,1,166160.0
2014,301500.0,120000,1,0,0,1,301500.0
2005,53600.0,120000,0,0,0,2,53600.0
2014,435500.0,76000,0,0,0,1,435500.0
2015,301500.0,80000,1,0,0,0,301500.0
2019,435500.0,25000,1,0,0,0,435500.0
2016,331650.0,11958,0,1,0,0,331650.0
2015,248570.00000000003,20000,0,1,0,0,248570.00000000003
2017,686750.0,9000,0,1,0,0,686750.0
2017,5460500.0,6500,1,1,1,0,5460500.0
2015,502500.00000000006,70000,1,0,0,0,502500.00000000006
2013,402000.0,120000,1,0,0,0,402000.0
2007,53600.0,58000,0,1,0,1,53600.0
2013,217750.0,62200,1,1,0,0,217750.0
2014,984900.0000000001,34000,1,1,1,1,984900.0000000001
2015,234500.0,53000,1,0,0,1,234500.0
2013,1876000.0,49000,1,1,1,0,1876000.0
2017,140700.0,15000,0,1,0,1,140700.0
2013,301500.0,50000,0,0,0,0,301500.0
2013,770500.0,53000,1,1,1,0,770500.0
2009,140700.0,63500,0,1,1,0,140700.0
2018,3015000.0,9800,0,1,1,0,3015000.0
2017,1842500.0,13000,1,0,1,0,1842500.0
2018,1323250.0,21000,1,1,1,0,1323250.0
2008,117250.0,29173,0,1,0,0,117250.0
2012,1675000.0,48000,1,1,1,0,1675000.0
2017,420760.0,120000,1,0,0,0,420760.0
2010,402000.0,100000,1,0,0,0,402000.0
2017,267330.0,30000,0,0,0,0,267330.0
2018,502500.00000000006,87000,1,0,0,0,502500.00000000006
2019,502500.00000000006,15000,0,0,0,0,502500.00000000006
2017,211050.0,16000,0,0,0,0,211050.0
2012,402000.0,60000,1,0,0,0,402000.0
2010,67000.0,60000,0,0,0,3,67000.0
2011,167500.0,110000,0,0,0,2,167500.0
2017,234500.0,25000,0,0,0,0,234500.0
2016,522600.00000000006,60000,1,0,0,0,522600.00000000006
2014,290780.0,79350,1,0,0,1,290780.0
2016,462300.0,80000,0,0,1,0,462300.0
2014,371850.0,90000,1,0,0,1,371850.0
2007,80400.0,90000,0,0,0,1,80400.0
2014,335000.0,120000,1,0,0,1,335000.0
2013,110550.0,60000,1,0,0,1,110550.0
2004,63650.00000000001,50000,0,0,0,0,63650.00000000001
2018,368500.0,20000,0,0,0,0,368500.0
2007,67000.0,110000,1,0,0,3,67000.0
2012,67000.0,50000,0,0,0,1,67000.0
2012,335000.0,100000,1,0,0,0,335000.0
2016,536000.0,70000,1,0,0,1,536000.0
2016,562800.0,70000,1,0,0,1,562800.0
2016,328300.0,50000,0,0,0,0,328300.0
2010,83750.0,81000,1,0,0,1,83750.0
2012,268000.0,120000,1,0,0,2,268000.0
2015,670000.0,3600,1,1,0,0,670000.0
2015,355100.0,14272,0,1,0,0,355100.0
2017,562800.0,49213,1,1,0,0,562800.0
2015,154099.33000000002,40000,0,0,0,0,154099.33000000002
1998,26800.0,40000,0,0,0,3,26800.0
2012,87100.0,80000,0,0,0,0,87100.0
2015,134000.0,70000,0,0,0,0,134000.0
2011,80400.0,70000,1,0,0,0,80400.0
2003,50250.0,57000,0,0,0,0,50250.0
2016,167500.0,120000,1,0,0,0,167500.0
2005,67000.0,30000,0,0,0,0,67000.0
2013,187600.0,3240,0,0,0,1,187600.0
2015,361800.0,5000,0,0,0,0,361800.0
2018,469000.0,10000,0,0,0,0,469000.0
2015,351750.0,100000,1,0,0,0,351750.0
2016,288100.0,80000,1,0,0,0,288100.0
2002,43550.0,70000,0,0,0,0,43550.0
2018,536000.0,35000,1,0,0,0,536000.0
2007,50250.0,114000,0,0,0,1,50250.0
2008,140700.0,53772,0,0,0,0,140700.0
2012,130650.00000000001,140000,1,0,0,1,130650.00000000001
2015,268000.0,120000,1,0,0,0,268000.0
2012,113900.0,60000,0,0,0,0,113900.0
2016,150750.0,25000,0,0,0,0,150750.0
2014,140700.0,90000,3,0,0,0,140700.0
2020,160800.0,120000,0,0,0,0,160800.0
2015,201000.0,175000,1,0,0,0,201000.0
2011,66330.0,100000,0,0,0,2,66330.0
2014,415400.0,36000,0,0,0,0,415400.0
2013,335000.0,30000,1,0,0,0,335000.0
2010,1708500.0,40000,0,0,1,1,1708500.0
2013,174200.0,70000,0,0,0,1,174200.0
2017,368500.0,60000,0,0,0,0,368500.0
2011,100500.0,155500,1,0,0,0,100500.0
2011,234500.0,50000,0,0,1,1,234500.0
2016,214400.0,40000,0,0,0,0,214400.0
2015,268000.0,100000,1,0,0,2,268000.0
2012,117250.0,80000,0,0,0,2,117250.0
2011,80400.0,90000,0,0,0,1,80400.0
2013,214400.0,90000,1,0,0,1,214400.0
2006,46900.0,110000,0,0,0,2,46900.0
2019,542700.0,15000,0,0,0,0,542700.0
2007,63650.00000000001,100000,0,0,0,1,63650.00000000001
2020,188940.0,40000,2,0,0,0,188940.0
2004,53600.0,60000,0,0,0,1,53600.0
2013,48240.0,25000,0,0,0,0,48240.0
2016,402000.0,25000,0,0,0,0,402000.0
2015,428800.0,23000,0,0,0,0,428800.0
2018,254600.00000000003,22155,0,0,0,0,254600.00000000003
2018,435500.0,70000,0,0,0,0,435500.0
2009,100500.0,60000,0,0,0,1,100500.0
2009,187600.0,110000,0,0,0,1,187600.0
2018,288100.0,30000,0,0,0,0,288100.0
2019,536000.0,15000,1,0,0,0,536000.0
